date,neutral,strong_negative,strong_positive,weak_negative,weak_positive,sentiment_index,sentiment_std,total_comments,strong_positive_ratio,weak_positive_ratio,neutral_ratio,weak_negative_ratio,strong_negative_ratio,sentiment_index_smooth
2025-03-30,1,0,1,0,0,1.0,0.5656854249492381,2,0.5,0.0,0.5,0.0,0.0,0.8
2025-03-31,2,0,0,0,3,0.6,0.260768096208106,5,0.0,0.6,0.4,0.0,0.0,0.7520833333333333
2025-04-01,22,0,4,2,36,0.65625,0.28556543741779933,64,0.0625,0.5625,0.34375,0.03125,0.0,0.5298611111111111
2025-04-02,11,0,1,3,9,0.3333333333333333,0.30455479505075245,24,0.041666666666666664,0.375,0.4583333333333333,0.125,0.0,0.5520833333333334
2025-04-03,1,0,0,0,2,0.6666666666666666,0.2,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5408805031446541
2025-04-04,17,0,5,4,27,0.6226415094339622,0.3106713550624091,53,0.09433962264150944,0.5094339622641509,0.32075471698113206,0.07547169811320754,0.0,0.604769392033543
2025-04-05,21,0,2,0,17,0.525,0.24045896286167587,40,0.05,0.425,0.525,0.0,0.0,0.5862508735150245
2025-04-06,9,0,2,0,7,0.6111111111111112,0.2784175638663643,18,0.1111111111111111,0.3888888888888889,0.5,0.0,0.0,0.5818287037037037
2025-04-07,29,0,6,1,28,0.609375,0.3075762907039075,64,0.09375,0.4375,0.453125,0.015625,0.0,0.649252946127946
2025-04-08,10,0,1,0,22,0.7272727272727273,0.2399494896342928,33,0.030303030303030304,0.6666666666666666,0.30303030303030304,0.0,0.0,0.6899936868686868
2025-04-09,7,0,3,0,5,0.7333333333333333,0.3534860406754147,15,0.2,0.3333333333333333,0.4666666666666667,0.0,0.0,0.6447634237107921
2025-04-10,20,0,4,2,12,0.47368421052631576,0.31595775506734713,38,0.10526315789473684,0.3157894736842105,0.5263157894736842,0.05263157894736842,0.0,0.6654970760233917
2025-04-11,5,0,5,2,7,0.7894736842105263,0.4285157301595264,19,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.0,0.598830409356725
2025-04-12,7,0,0,0,8,0.5333333333333333,0.15976172734359606,15,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.7307907449783878
2025-04-13,5,0,2,0,16,0.8695652173913043,0.2670287397005928,23,0.08695652173913043,0.6956521739130435,0.21739130434782608,0.0,0.0,0.6191480017566974
2025-04-14,12,0,0,0,10,0.45454545454545453,0.18702501163843027,22,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.5663702239789196
2025-04-15,3,0,0,1,4,0.375,0.21213203435596426,8,0.0,0.5,0.375,0.125,0.0,0.4669913419913419
2025-04-16,11,0,1,1,15,0.5714285714285714,0.30272134321882826,28,0.03571428571428571,0.5357142857142857,0.39285714285714285,0.03571428571428571,0.0,0.38214285714285706
2025-04-17,4,0,0,0,1,0.2,0.0894427190999916,5,0.0,0.2,0.8,0.0,0.0,0.45012531328320793
2025-04-18,9,0,1,0,9,0.5789473684210527,0.3141869670950685,19,0.05263157894736842,0.47368421052631576,0.47368421052631576,0.0,0.0,0.3365721997300944
2025-04-19,22,1,1,3,12,0.23076923076923078,0.2966297418983428,39,0.02564102564102564,0.3076923076923077,0.5641025641025641,0.07692307692307693,0.02564102564102564,0.4157388663967611
2025-04-20,14,0,0,2,16,0.4375,0.21468281178850665,32,0.0,0.5,0.4375,0.0625,0.0,0.42788461538461536
2025-04-21,5,0,0,0,8,0.6153846153846154,0.25012817227194256,13,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.5041146916146916
2025-04-22,18,0,0,1,18,0.4594594594594595,0.2101050788156825,37,0.0,0.4864864864864865,0.4864864864864865,0.02702702702702703,0.0,0.5249480249480248
2025-04-23,8,0,0,0,8,0.5,0.21756225162774293,16,0.0,0.5,0.5,0.0,0.0,0.2827827827827827
2025-04-24,7,1,0,0,1,-0.1111111111111111,0.348010216963685,9,0.0,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111,0.22719060523938564
2025-04-25,17,1,1,5,17,0.2926829268292683,0.29991868816763506,41,0.024390243902439025,0.4146341463414634,0.4146341463414634,0.12195121951219512,0.024390243902439025,0.132987706688661
2025-04-26,9,1,0,3,10,0.21739130434782608,0.3130873926158953,23,0.0,0.43478260869565216,0.391304347826087,0.13043478260869565,0.043478260869565216,0.5033580770590314
2025-04-27,1,0,1,0,3,1.0,0.30331501776206204,5,0.2,0.6,0.2,0.0,0.0,0.5365160556976413
2025-04-28,28,0,1,2,20,0.39215686274509803,0.20465178460296035,51,0.0196078431372549,0.39215686274509803,0.5490196078431373,0.0392156862745098,0.0,0.6266539135979594
2025-04-29,17,0,2,3,19,0.4878048780487805,0.280069677741529,41,0.04878048780487805,0.4634146341463415,0.4146341463414634,0.07317073170731707,0.0,0.40443169137573715
2025-04-30,4,0,0,0,2,0.3333333333333333,0.16733200530681513,6,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4297411059216974
2025-05-01,26,0,1,0,20,0.46808510638297873,0.17900950625665046,47,0.02127659574468085,0.425531914893617,0.5531914893617021,0.0,0.0,0.45632866909462644
2025-05-02,17,0,1,0,19,0.5675675675675675,0.2007493469486272,37,0.02702702702702703,0.5135135135135135,0.4594594594594595,0.0,0.0,0.5710240095964185
2025-05-03,9,0,1,1,20,0.6774193548387096,0.21592511645007514,31,0.03225806451612903,0.6451612903225806,0.2903225806451613,0.03225806451612903,0.0,0.6038845296909813
2025-05-04,14,0,3,1,12,0.5666666666666667,0.3139661011059604,30,0.1,0.4,0.4666666666666667,0.03333333333333333,0.0,0.6369175627240141
2025-05-05,9,0,2,0,10,0.6666666666666666,0.27568097504180444,21,0.09523809523809523,0.47619047619047616,0.42857142857142855,0.0,0.0,0.6040935672514619
2025-05-06,7,0,1,1,10,0.5789473684210527,0.2740213847462376,19,0.05263157894736842,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.0,0.574179037336932
2025-05-07,32,0,4,3,26,0.47692307692307695,0.27952569718116327,65,0.06153846153846154,0.4,0.49230769230769234,0.046153846153846156,0.0,0.46006492322281783
2025-05-08,17,0,2,5,13,0.32432432432432434,0.2851689347059411,37,0.05405405405405406,0.35135135135135137,0.4594594594594595,0.13513513513513514,0.0,0.5633787633787634
2025-05-09,1,0,0,0,8,0.8888888888888888,0.1,9,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.5565783174478826
2025-05-10,18,1,2,3,22,0.45652173913043476,0.3271897616011515,46,0.043478260869565216,0.4782608695652174,0.391304347826087,0.06521739130434782,0.021739130434782608,0.7024384633080283
2025-05-11,5,0,0,0,16,0.7619047619047619,0.1841324574993825,21,0.0,0.7619047619047619,0.23809523809523808,0.0,0.0,0.6283643892339543
2025-05-12,3,0,0,0,6,0.6666666666666666,0.1,9,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6711590296495955
2025-05-13,19,0,3,3,28,0.5849056603773585,0.26613396236036,53,0.05660377358490566,0.5283018867924528,0.3584905660377358,0.05660377358490566,0.0,0.5623520660039222
2025-05-14,29,0,2,4,27,0.43548387096774194,0.2906620026568174,62,0.03225806451612903,0.43548387096774194,0.46774193548387094,0.06451612903225806,0.0,0.46916210184621615
2025-05-15,16,0,1,2,12,0.3870967741935484,0.2404297228150114,31,0.03225806451612903,0.3870967741935484,0.5161290322580645,0.06451612903225806,0.0,0.44086021505376327
2025-05-16,34,0,3,3,34,0.5,0.23953861611778865,74,0.04054054054054054,0.4594594594594595,0.4594594594594595,0.04054054054054054,0.0,0.3998655913978493
2025-05-17,22,0,0,0,10,0.3125,0.13304740847993174,32,0.0,0.3125,0.6875,0.0,0.0,0.46130952380952367
2025-05-18,4,0,1,0,2,0.5714285714285714,0.3651483716701107,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0,0.4562590187590186
2025-05-19,26,1,3,4,32,0.48484848484848486,0.3036376198625661,66,0.045454545454545456,0.48484848484848486,0.3939393939393939,0.06060606060606061,0.015151515151515152,0.4834054834054832
2025-05-20,19,0,1,1,12,0.3939393939393939,0.22879791268384608,33,0.030303030303030304,0.36363636363636365,0.5757575757575758,0.030303030303030304,0.0,0.5236985236985235
2025-05-21,6,0,2,0,5,0.6923076923076923,0.37003118371709826,13,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.0,0.0,0.55011655011655
2025-05-22,17,0,2,1,19,0.5641025641025641,0.22728818497304273,39,0.05128205128205128,0.48717948717948717,0.4358974358974359,0.02564102564102564,0.0,0.6688034188034186
2025-05-23,8,0,4,1,11,0.75,0.3583375463183412,24,0.16666666666666666,0.4583333333333333,0.3333333333333333,0.041666666666666664,0.0,0.6380341880341879
2025-05-24,0,0,0,1,4,0.6,0.30331501776206204,5,0.0,0.8,0.0,0.2,0.0,0.672222222222222
2025-05-25,17,0,4,1,23,0.6666666666666666,0.2963072388551785,45,0.08888888888888889,0.5111111111111111,0.37777777777777777,0.022222222222222223,0.0,0.6337606837606836
2025-05-26,20,0,1,0,31,0.6346153846153846,0.22655529159750287,52,0.019230769230769232,0.5961538461538461,0.38461538461538464,0.0,0.0,0.6559829059829058
2025-05-27,3,0,1,1,7,0.6666666666666666,0.34989175815420753,12,0.08333333333333333,0.5833333333333334,0.25,0.08333333333333333,0.0,0.48340607383160555
2025-05-28,17,1,4,12,13,0.14893617021276595,0.4105906037018975,47,0.0851063829787234,0.2765957446808511,0.3617021276595745,0.2553191489361702,0.02127659574468085,0.2811268715524033
2025-05-29,16,0,1,10,9,0.027777777777777776,0.2572133942055315,36,0.027777777777777776,0.25,0.4444444444444444,0.2777777777777778,0.0,0.3153149057404375
2025-05-30,5,0,2,0,6,0.7692307692307693,0.3616202853397895,13,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.0,0.0,0.3594195156695155
2025-05-31,16,0,1,4,11,0.28125,0.2907165785301176,32,0.03125,0.34375,0.5,0.125,0.0,0.4834935897435897
2025-06-01,9,0,1,2,8,0.4,0.2375311613906246,20,0.05,0.4,0.45,0.1,0.0,0.3482954545454544
2025-06-02,3,0,0,2,6,0.36363636363636365,0.31449815724275865,11,0.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,0.38648989898989883
2025-06-03,25,0,2,3,18,0.3958333333333333,0.2640384670019458,48,0.041666666666666664,0.375,0.5208333333333334,0.0625,0.0,0.32723063973063954
2025-06-04,14,1,0,2,10,0.2222222222222222,0.29429523715086964,27,0.0,0.37037037037037035,0.5185185185185185,0.07407407407407407,0.037037037037037035,0.39120370370370355
2025-06-05,4,0,0,0,5,0.5555555555555556,0.21081851067789198,9,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.36695156695156683
2025-06-06,38,2,4,2,19,0.3230769230769231,0.3182584822726042,65,0.06153846153846154,0.2923076923076923,0.5846153846153846,0.03076923076923077,0.03076923076923077,0.41052455170102214
2025-06-07,7,0,0,2,8,0.35294117647058826,0.24614677591656092,17,0.0,0.47058823529411764,0.4117647058823529,0.11764705882352941,0.0,0.3253393665158369
2025-06-08,6,0,1,1,2,0.3,0.3533962208186286,10,0.1,0.2,0.6,0.1,0.0,0.3254901960784312
2025-06-09,14,0,1,5,14,0.3235294117647059,0.2656844656620286,34,0.029411764705882353,0.4117647058823529,0.4117647058823529,0.14705882352941177,0.0,0.36913345983554696
2025-06-10,14,0,0,1,16,0.4838709677419355,0.21967718251135923,31,0.0,0.5161290322580645,0.45161290322580644,0.03225806451612903,0.0,0.35246679316888024
2025-06-11,3,0,0,0,1,0.25,0.1,4,0.0,0.25,0.75,0.0,0.0,0.3437227550130774
2025-06-12,46,1,1,2,24,0.2972972972972973,0.21245902538514244,74,0.013513513513513514,0.32432432432432434,0.6216216216216216,0.02702702702702703,0.013513513513513514,0.2240990990990989
2025-06-13,30,0,0,6,12,0.125,0.16989775815751765,48,0.0,0.25,0.625,0.125,0.0,0.14076576576576558
2025-06-14,3,0,0,1,1,0.0,0.14142135623730953,5,0.0,0.2,0.6,0.2,0.0,0.10381355932203372
2025-06-15,37,1,2,5,14,0.1864406779661017,0.2584854507106847,59,0.03389830508474576,0.23728813559322035,0.6271186440677966,0.0847457627118644,0.01694915254237288,0.09389292440139879
2025-06-16,26,0,0,6,10,0.09523809523809523,0.18864391666270178,42,0.0,0.23809523809523808,0.6190476190476191,0.14285714285714285,0.0,0.027226257734732123
2025-06-17,4,0,0,1,0,-0.2,0.0894427190999916,5,0.0,0.0,0.8,0.2,0.0,0.03715143715143696
2025-06-18,22,0,1,4,10,0.21621621621621623,0.22219219016286187,37,0.02702702702702703,0.2702702702702703,0.5945945945945946,0.10810810810810811,0.0,0.08873873873873855
2025-06-19,23,0,0,2,11,0.25,0.20283702113484395,36,0.0,0.3055555555555556,0.6388888888888888,0.05555555555555555,0.0,0.3220720720720719
2025-06-20,1,0,0,0,1,0.5,0.14142135623730953,2,0.0,0.5,0.5,0.0,0.0,0.38333333333333314
2025-06-21,39,0,1,2,28,0.4,0.20912912195108818,70,0.014285714285714285,0.4,0.5571428571428572,0.02857142857142857,0.0,0.2743589743589742
2025-06-22,6,0,0,4,3,-0.07692307692307693,0.22870874995874627,13,0.0,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.0,0.10769230769230752
2025-06-23,4,0,0,0,0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0588660166124953
2025-06-24,35,0,0,9,27,0.2535211267605634,0.2560495424898384,71,0.0,0.38028169014084506,0.49295774647887325,0.1267605633802817,0.0,0.24323720098367965
2025-06-25,10,0,1,1,9,0.47619047619047616,0.27774602993176545,21,0.047619047619047616,0.42857142857142855,0.47619047619047616,0.047619047619047616,0.0,0.44323720098367964
2025-06-26,2,0,0,0,3,0.6,0.10954451150103323,5,0.0,0.6,0.4,0.0,0.0,0.46217843459222746
2025-06-27,33,0,3,5,17,0.3103448275862069,0.24598407869036368,58,0.05172413793103448,0.29310344827586204,0.5689655172413793,0.08620689655172414,0.0,0.3242816091954021
2025-06-28,20,0,0,5,7,0.0625,0.21552636243212991,32,0.0,0.21875,0.625,0.15625,0.0,0.19094827586206878
2025-06-29,6,0,0,1,3,0.2,0.2065591117977289,10,0.0,0.3,0.6,0.1,0.0,0.2577127659574466
2025-06-30,19,0,2,3,23,0.5106382978723404,0.27862487754448456,47,0.0425531914893617,0.48936170212765956,0.40425531914893614,0.06382978723404255,0.0,0.4283687943262409
2025-07-01,17,0,1,2,27,0.574468085106383,0.2635416647622913,47,0.02127659574468085,0.574468085106383,0.3617021276595745,0.0425531914893617,0.0,0.47281323877068543
2025-07-02,6,0,0,1,5,0.3333333333333333,0.24308621740219885,12,0.0,0.4166666666666667,0.5,0.08333333333333333,0.0,0.46260047281323863
2025-07-03,26,0,4,2,18,0.48,0.2818017829928675,50,0.08,0.36,0.52,0.04,0.0,0.4377777777777776
2025-07-04,13,0,2,1,10,0.5,0.27534593626088727,26,0.07692307692307693,0.38461538461538464,0.5,0.038461538461538464,0.0,0.4599999999999998
2025-07-05,9,0,1,2,8,0.4,0.2980639281482379,20,0.05,0.4,0.45,0.1,0.0,0.471171171171171
2025-07-06,17,0,1,1,18,0.5135135135135135,0.22042819372437047,37,0.02702702702702703,0.4864864864864865,0.4594594594594595,0.02702702702702703,0.0,0.45156332803391613
2025-07-07,16,0,1,2,15,0.4411764705882353,0.27646869191900947,34,0.029411764705882353,0.4411764705882353,0.47058823529411764,0.058823529411764705,0.0,0.4015633280339161
2025-07-08,6,0,0,0,2,0.25,0.2138089935299395,8,0.0,0.25,0.75,0.0,0.0,0.4208683473389354
2025-07-09,21,1,4,2,28,0.5714285714285714,0.30864176687502987,56,0.07142857142857142,0.5,0.375,0.03571428571428571,0.017857142857142856,0.4243471582181258
2025-07-10,15,0,0,1,15,0.45161290322580644,0.2256650863177459,31,0.0,0.4838709677419355,0.4838709677419355,0.03225806451612903,0.0,0.5076804915514591
2025-07-11,4,0,0,0,4,0.5,0.20701966780270625,8,0.0,0.5,0.5,0.0,0.0,0.422142572680207
2025-07-12,29,0,2,5,18,0.3148148148148148,0.2320268906558492,54,0.037037037037037035,0.3333333333333333,0.5370370370370371,0.09259259259259259,0.0,0.4382716049382715
2025-07-13,19,0,2,1,16,0.5,0.2624428407591229,38,0.05263157894736842,0.42105263157894735,0.5,0.02631578947368421,0.0,0.3906525573192238
2025-07-14,7,0,0,1,6,0.35714285714285715,0.24449993820085064,14,0.0,0.42857142857142855,0.5,0.07142857142857142,0.0,0.3734335839598996
2025-07-15,29,0,1,7,20,0.2631578947368421,0.2673081257373465,57,0.017543859649122806,0.3508771929824561,0.5087719298245614,0.12280701754385964,0.0,0.292788422669577
2025-07-16,21,0,0,1,9,0.25806451612903225,0.17767918413004458,31,0.0,0.2903225806451613,0.6774193548387096,0.03225806451612903,0.0,0.2606112054329369
